Using device: cuda
Initialized new model
============================================================
MODEL PARAMETER COUNT
============================================================
Encoder parameters:    12,232,320
Decoder parameters:    970,016
Total parameters:      13,202,336
============================================================
Training from step 0 to 1000000
Step 0 (0.0%): Train Loss = 1.488727, Val Loss = 1.173882, Gnorm = 5.076918, Samples = 256, LR = 2.00e-04, Steps/sec = 0.00, Samples/sec = 0.0
Step 500 (0.1%): Train Loss = 0.157811, Val Loss = 0.149537, Gnorm = 0.635626, Samples = 128256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.6
Step 1000 (0.1%): Train Loss = 0.134068, Val Loss = 0.121228, Gnorm = 0.505940, Samples = 256256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.4
Step 1500 (0.2%): Train Loss = 0.106237, Val Loss = 0.144754, Gnorm = 0.405603, Samples = 384256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.3
Step 2000 (0.2%): Train Loss = 0.093993, Val Loss = 0.092946, Gnorm = 0.398946, Samples = 512256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.0
Step 2500 (0.3%): Train Loss = 0.090812, Val Loss = 0.117501, Gnorm = 0.431169, Samples = 640256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.8
Step 3000 (0.3%): Train Loss = 0.098912, Val Loss = 0.087847, Gnorm = 0.455927, Samples = 768256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.3
Step 3500 (0.4%): Train Loss = 0.091909, Val Loss = 0.081965, Gnorm = 0.373910, Samples = 896256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.4
Step 4000 (0.4%): Train Loss = 0.107251, Val Loss = 0.074384, Gnorm = 0.429858, Samples = 1024256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.4
Step 4500 (0.5%): Train Loss = 0.083579, Val Loss = 0.084541, Gnorm = 0.275530, Samples = 1152256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 263.4
Step 5000 (0.5%): Train Loss = 0.082297, Val Loss = 0.081360, Gnorm = 0.245716, Samples = 1280256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.4
Step 5500 (0.6%): Train Loss = 0.078794, Val Loss = 0.067658, Gnorm = 0.387325, Samples = 1408256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 263.4
Step 6000 (0.6%): Train Loss = 0.078015, Val Loss = 0.076903, Gnorm = 0.493322, Samples = 1536256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 257.3
Step 6500 (0.7%): Train Loss = 0.074246, Val Loss = 0.067317, Gnorm = 0.226241, Samples = 1664256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.0
